0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 
0 0 0 0 1 1 1 1 1 1 1 1 8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 8 1 1 1 1 1 1 1 0 0 0 0 
0 0 0 0 1 1 1 9 9 9 9 8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 8 9 9 9 9 1 1 1 0 0 0 
0 0 0 1 1 1 9 9 9 9 9 8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 8 9 9 9 9 9 1 1 1 0 0 
0 0 1 1 1 9 9 9 9 9 8 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 8 9 9 9 9 9 1 1 0 0 
0 0 1 1 1 9 9 9 9 9 8 8 0 0 0 1 8 8 8 8 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 8 8 8 0 8 8 9 9 9 9 9 1 1 1 0 
0 0 1 1 9 9 9 9 9 8 8 0 0 0 1 8 8 1 8 8 8 0 0 1 8 8 8 1 8 8 1 8 8 8 8 8 1 0 1 8 8 8 8 8 1 0 1 8 8 1 8 8 8 1 1 0 8 8 8 8 8 1 0 0 1 8 8 1 0 0 8 8 9 9 9 9 9 1 1 0 
0 1 1 1 9 9 9 9 9 8 8 0 0 1 8 8 1 0 8 8 8 1 0 1 8 8 8 1 0 1 8 8 8 8 1 0 0 1 8 8 1 0 1 8 8 1 1 8 8 1 0 1 8 8 1 0 0 0 1 1 1 8 8 1 1 8 8 1 0 0 8 8 9 9 9 9 9 1 1 1 
